연번,건축구분,대지위치,대지면적(m^2),건축면적(m^2),연면적(m^2),증축연면적(m^2),허가일,착공일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,총주차대수,세대수,호수,가구수,설계자 전화번호,설계사무소,감리자 전화번호,감리사무소명
11,신축,서울특별시 강북구 미아동 258-162,189.3,90.82,186.1,,2021-08-25,2022-02-22,3,0,공동주택,다세대주택(5세대),도시지역,,,3,5,,,032-328-2773,만원종합건축사사무소,02-3445-9942,청안 건축사사무소
12,신축,서울특별시 강북구 수유동 134-1 외2필지,292.45,163.15,488.96,,2021-08-03,2022-02-17,5,0,공동주택,다세대주택,도시지역,,가축사육제한구역,7,13,,,02-569-3125,주식회사 위즈스케일건축사사무소,02-569-3125,주식회사 위즈스케일건축사사무소
13,신축,서울특별시 강북구 우이동 32-3 외1필지,301,166.69,601.28,,2022-02-22,2022-03-18,5,0,공동주택,도시형생활주택(원룸형14세대),도시지역,고도지구,,7,14,,,02-540-1546,건축사사무소유일엔지니어링,010-5350-0350,(주)지디지건축사사무소
14,신축,서울특별시 강북구 수유동 442-85 외6필지,667.64,364.49,"1,365.78",,2022-01-19,2022-02-16,6,1,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,16,20,,,032-464-6775,건축사사무소한다스,02-446-5171,건축사사무소 키스톤
15,신축,서울특별시 강북구 수유동 441-11 외2필지,206.21,121.58,494.93,,2021-12-02,2022-02-28,4,1,공동주택,다세대주택,도시지역,고도지구,상대보호구역,5,8,,,02-908-8894,백이건축사사무소,010-9004-0044,티아이엔지니어링건축사사무소
16,신축,서울특별시 강북구 수유동 441-14 외2필지,290.6,173.94,578.95,,2021-12-02,2022-02-28,5,0,공동주택,다세대주택,도시지역,고도지구,가축사육제한구역,8,11,,,02-908-8894,백이건축사사무소,02-2202-3112,용 건축사사무소
17,신축,서울특별시 강북구 수유동 441-17 외2필지,298.03,178.51,595.95,,2021-12-02,2022-02-28,5,0,공동주택,다세대주택,도시지역,고도지구,가축사육제한구역,8,11,,,02-908-8894,백이건축사사무소,010-7575-3509,페트라 건축사사무소
18,신축,서울특별시 강북구 수유동 583-4 외1필지,603.24,178.33,729.8,,2021-11-10,2022-02-21,3,1,단독주택,다가구주택,도시지역,고도지구,,8,,,2,02-558-5428,(주)신예이엔씨건축사사무소,02-6405-8090,(주)재원에이앤드씨 건축사사무소
19,신축,서울특별시 강북구 수유동 279-180,257.62,154.2,511.25,,2021-07-05,2022-03-02,5,0,공동주택,다세대주택(8세대)및 근린생활시설,제2종일반주거지역,고도지구,,6,8,,,02-902-3214,대신건축사사무소,02-3492-9050,선 건축사사무소
20,신축,서울특별시 강북구 미아동 126-4,455.5,227.19,"1,497.82",,2021-03-22,2022-02-11,5,1,제1종근린생활시설,"소매점,의원,사무소",제3종일반주거지역,중심지미관지구,지구단위계획구역,8,,,,02-3296-0132,(주)대승이엔지건축사사무소,02-3296-0132,(주)대승이엔지건축사사무소
21,증축,서울특별시 강북구 우이동 86-4 외2필지,"6,575",762.11,"2,754.42",,2018-10-18,2021-10-11,2,2,문화및집회시설,박물관,도시지역,공원자연환경지구,국립공원,21,,,,010-2211-5216,건축사사무소 예하파트너스,02-532-1861,(주)서인종합건축사사무소
22,신축,서울특별시 강북구 미아동 129-8,377.9,175.74,659.92,,2022-04-07,2022-04-26,6,0,공동주택,다세대주택(도시형생활주택),도시지역,대공방어협조구역,상대보호구역,8,10,,,02-303-2448,진우 건축사사무소,02-990-5169,로프트 도시 건축사사무소
23,신축,서울특별시 강북구 수유동 562-51,335.2,86.8,171.6,,2022-03-23,2022-04-11,2,0,단독주택,단독주택,도시지역,자연경관지구,가축사육제한구역,1,,,1,02-999-5855,디엔에이 건축사사무소,02-906-4775,세일건축사사무소
24,대수선,서울특별시 강북구 수유동 394-11,"1,349",635.12,"3,239.94",,2022-03-22,2022-04-07,5,1,교육연구시설,"제1종근생,교육연구시설,공장",제2종일반주거지역,,,21,,,,02-3296-0132,(주)대승이엔지건축사사무소,02-3296-0132,(주)대승이엔지건축사사무소
25,신축,서울특별시 강북구 번동 432-6,704.5,336.99,"1,806.21",,2022-03-03,2022-04-25,8,1,공동주택,아파트,제3종일반주거지역,,,22,22,,,02-6959-4783,건축사사무소 아성,02-6959-4783,건축사사무소 아성
26,신축,서울특별시 강북구 번동 523-3 외1필지,456,256.68,659.7,,2022-02-04,2022-04-28,5,0,공동주택,도시형생활주택(단지형다세대주택),제1종일반주거지역,,,8,10,,,02-6959-4783,건축사사무소 아성,02-6959-4783,건축사사무소 아성
27,신축,서울특별시 강북구 수유동 130-82,179,106.98,357.08,,2021-12-15,2022-04-22,5,0,공동주택,근린생활시설및다세대주택(6세대),도시지역,,,4,6,,,010-4174-1659,건축사사무소 공간기록,010-3127-2154,건축사사무소 홍경건축
28,신축,서울특별시 강북구 우이동 155-4,337,201.68,494.16,,2021-11-19,2022-04-11,4,0,공동주택,다세대주택,도시지역,고도지구,,8,8,,,010-2666-0496,어나더건축사사무소,01037331590,도무스포럼 건축사사무소
29,신축,서울특별시 강북구 수유동 167-11,139.8,82.88,228.39,,2018-06-12,2022-04-01,4,0,단독주택,다가구주택,도시지역,,,4,,,6,02-6959-6611,(주)에이펙스건축사사무소,02-956-0248,(주)샘 종합건축사사무소
30,신축,서울특별시 강북구 번동 434-52 외2필지,329.1,174.22,657.95,,2022-03-28,2022-05-11,6,0,공동주택,도시형생활주택(다세대주택),제2종일반주거지역,,,8,10,,,029984343,디자인에이건축사사무소(주),029649778,상진엔지니어링건축사사무소
31,신축,서울특별시 강북구 수유동 192-16,127.64,69.18,451.35,,2022-03-24,2022-05-26,8,1,제2종근린생활시설,,준주거지역,,지구단위계획구역,3,,,,02-903-2291,한양건축사사무소,02-903-2291,한양건축사사무소
32,신축,서울특별시 강북구 우이동 65-14 외1필지,321,168.29,658.45,,2022-03-23,2022-05-27,6,1,공동주택,도시형생활주택단지형다세대,제2종일반주거지역,고도지구,상대보호구역,8,10,,,02-993-5500,주식회사종합건축사사무소한산건축,02-454-1005,엘라건축사사무소
33,신축,서울특별시 강북구 수유동 222-58,137.2,82.01,272.93,,2022-03-15,2022-05-10,4,0,제1종근린생활시설,소매점,제2종일반주거지역,,,2,,,,02-3296-0132,(주)대승이엔지건축사사무소,02-3462-1977,(주)제이풀씨엠건축사사무소
34,신축,서울특별시 강북구 번동 510-8 외1필지,308,184.15,613.93,,2022-03-14,2022-05-12,5,0,공동주택,도시형생활주택(단지형다세대),도시지역,,가축사육제한구역,8,10,,,02-902-3214,대신건축사사무소,02-545-1411,홍인 건축사사무소
35,신축,서울특별시 강북구 미아동 328-11 외3필지,369.65,220.52,700.27,,2022-02-11,2022-05-26,5,0,공동주택,도시형생활주택및제2종 근린생활시설,도시지역,대공방어협조구역,상대보호구역,9,11,,,02-491-3355,국원건축사사무소,02-3492-8726,태일 건축사사무소
36,신축,서울특별시 강북구 수유동 527-54 외2필지,366.61,179.94,921.27,,2021-12-29,2022-05-26,5,1,공동주택,다세대주택,제2종일반주거지역,고도지구,,8,10,,,02-352-5301,(주)더블유비종합건축사사무소,0263984739,라인그룹건축사사무소
37,신축,서울특별시 강북구 수유동 527-55 외1필지,356.18,171.42,920.6,,2021-12-29,2022-05-26,5,1,공동주택,다세대주택,제2종일반주거지역,고도지구,,8,10,,,02-352-5301,(주)더블유비종합건축사사무소,0263984739,라인그룹건축사사무소
38,증축,서울특별시 강북구 번동 155-5,353,139.17,748.9,92.97,2020-03-16,2022-05-28,5,1,노유자시설,노인의료복지시설,도시지역,대공방어협조구역,상대보호구역,4,,,,031-565-2288,주식회사이현건축사사무소,031-565-2288,주식회사이현건축사사무소
39,신축,서울특별시 강북구 수유동 178-41,243.8,121.86,580.45,,2022-02-18,2022-06-22,5,0,제2종근린생활시설,근린생활시설 + 단독주택,도시지역,대공방어협조구역,,4,1,1,1,070-8128-5500,이데아키텍츠 건축사사무소 (주),070-8128-5500,이데아키텍츠 건축사사무소 (주)
40,신축,서울특별시 강북구 미아동 129-33,99.53,59.21,168.48,,2021-12-07,2022-06-27,4,0,단독주택,다가구주택,도시지역,대공방어협조구역,상대보호구역,2,,,3,02-736-1242,상하 건축사사무소,02-736-1242,상하 건축사사무소
41,신축,서울특별시 강북구 수유동 680 외1필지,185.43,92.54,392.56,,2021-06-03,2022-06-02,5,0,공동주택,,도시지역,대공방어협조구역,상대보호구역,5,12,,,01026767503,(주)에이디오디자인건축사사무소,02-6368-3364,예영건축사 사무소
42,신축,서울특별시 강북구 미아동 791-260,128,47.43,142.29,,2022-04-26,2022-07-04,3,0,단독주택,단독주택,도시지역,고도지구,상대보호구역,1,0,0,0,02-903-6004,강북건축사사무소,02-949-7305,상민건축사사무소
43,신축,서울특별시 강북구 미아동 158-89 외1필지,395.2,236.56,690.51,,2022-04-14,2022-07-20,6,0,공동주택,도시형생활주택,제2종일반주거지역,,가축사육제한구역,10,12,2,,02-904-3604,라인그룹건축사사무소,029043604,선율건축사사무소
44,신축,서울특별시 강북구 미아동 791-3489,219.2,120.52,613.85,,2021-11-22,2022-07-01,5,1,공동주택,제2종근린생활시설,제2종일반주거지역,,,7,8,1,,02-999-8097,KNA건축사사무소,02-6215-5551,(주)아비드 건축사사무소
45,신축,서울특별시 강북구 우이동 21-13 외1필지,105.5,56.73,144.2,,2021-10-22,2022-07-26,3,0,단독주택,단독주택,제2종일반주거지역,고도지구,,1,,,1,02-906-3456,종로건축사사무소,02-906-3456,종로 건축사사무소
46,신축,서울특별시 강북구 우이동 21-2 외1필지,105,60.92,150.02,,2021-10-22,2022-07-26,3,0,단독주택,단독주택,도시지역,고도지구,,1,,,1,02-906-3456,종로 건축사사무소,02-906-3456,종로 건축사사무소
47,신축,서울특별시 강북구 우이동 21-138 외3필지,106,59.15,144.36,,2021-10-22,2022-07-26,3,0,단독주택,단독주택,도시지역,고도지구,,1,,,1,02-906-3456,종로 건축사사무소,02-906-3456,종로 건축사사무소
48,신축,서울특별시 강북구 우이동 21-128 외2필지,110.5,62.28,147.22,,2021-10-22,2022-07-26,3,0,단독주택,단독주택,제2종일반주거지역,고도지구,,1,,,1,02-906-3456,종로 건축사사무소,02-906-3456,종로 건축사사무소
49,신축,서울특별시 강북구 미아동 158-80,173.3,101.22,346.57,,2022-06-30,2022-08-26,5,0,단독주택,다가구주택,제2종일반주거지역,,,4,,2,5,02-475-7777,(주)다솔건축사사무소,02-475-6666,(주)다솔건축사사무소
50,신축,서울특별시 강북구 수유동 557-14 외2필지,435.9,217.64,721.03,,2022-06-02,2022-08-22,5,0,공동주택,도시형생활주택,제2종일반주거지역,고도지구,가축사육제한구역,9,12,1,,029043604,영화건축사사무소,02-904-3604,영화건축사사무소
51,신축,서울특별시 강북구 수유동 50-1 외2필지,803.04,435.62,"4,237.72",,2022-05-27,2022-08-04,13,1,공동주택,아파트,상업지역,,,44,30,19,,02-352-5301,(주)더블유비종합건축사사무소,02-352-5301,(주)더블유비종합건축사사무소
52,신축,서울특별시 강북구 미아동 301-32,83.67,50.08,126.62,,2022-05-26,2022-08-09,4,0,단독주택,다가구주택,제2종일반주거지역,,,2,,,4,02-501-7310,(주)기림건축사사무소,,(주)건축사사무소 대원아키텍
53,신축,서울특별시 강북구 미아동 860-24,252.96,150.72,505.55,,2022-04-26,2022-08-08,4,0,제2종근린생활시설,일반음식점,도시지역,,,,,,,,백이건축사사무소,02-908-8894,백이건축사사무소
54,신축,서울특별시 강북구 번동 417-51 외1필지,347.4,208.29,"1,407.22",,2021-12-28,2022-08-22,9,1,공동주택,"다세대주택 및 오피스텔, 제2종근린생활시설",도시지역,,지구단위계획구역,20,14,7,,02-983-8888,건축사사무소 공간기록,02-964-9777,주식회사 상진엔지니어링건축사사무소
55,신축,서울특별시 강북구 번동 415-30,251.6,150.76,841.93,,2021-08-11,2021-10-08,8,1,공동주택,"도시형생활주택(단지형다세대주택),제2종근생(사무소),업무시설(오피스텔)",준주거지역,,지구단위계획구역,14,8,3,,02-3296-0132,(주)대승이엔지건축사사무소,02-544-4405,리앤에이토탈디자인건축사사무소
56,대수선,서울특별시 강북구 수유동 475-125,210,103.93,207.86,,2022-09-02,2022-09-28,1,1,제1종근린생활시설,휴게음식점,도시지역,,,1,,,,02-2637-2050,(주)모어엔지니어링건축사사무소,02-2637-2050,(주)모어엔지니어링건축사사무소
57,신축,서울특별시 강북구 우이동 71-36 외1필지,292,171.83,437.81,,2022-08-09,2022-09-27,3,0,제1종근린생활시설,제2종근린생활시설,제1종일반주거지역,,,3,,,,999-1688,세현건축사 사무소,999-1688,세현건축사 사무소
58,신축,서울특별시 강북구 수유동 440-1,117.27,70.32,194.54,,2022-07-28,2022-09-16,4,0,단독주택,"단독주택, 근린생활시설",도시지역,고도지구,상대보호구역,2,1,,,07048662022,(주)테이블오건축사사무소,,
59,신축,서울특별시 강북구 미아동 834-24,284.46,170.46,497.11,,2022-07-04,2022-09-30,5,0,공동주택,다세대주택,도시지역,고도지구,,7,8,,,02-6423-3664,이앤비건축사사무소,02-3421-4600,서림 건축사사무소
60,신축,서울특별시 강북구 수유동 236-5,125.33,71.71,217.03,,2022-03-15,2022-09-13,4,0,공동주택,다세대주택,도시지역,,,3,4,,,010-4299-9516,우리건축사사무소,02-926-8665,건축사사무소 신풍
61,신축,서울특별시 강북구 수유동 237-18,101.34,60.66,198.61,,2022-03-15,2022-09-13,4,0,단독주택,다가구주택 및 근린생활시설,도시지역,,,3,,1,3,010-4299-9516,우리건축사사무소,02-516-9583,건축사사무소태리
62,신축,서울특별시 강북구 우이동 163-8 외1필지,297,178.12,568.61,,2021-12-22,2022-09-26,5,0,공동주택,도시형생활주택(소형주택),도시지역,고도지구,가축사육제한구역,6,12,,,027456511,(주)에이이플러스건축사사무소,02-6449-1400,그레도건축사사무소
63,신축,서울특별시 강북구 수유동 1-109,69.83,41.78,153.54,,2022-08-30,2022-10-14,5,0,단독주택,"단독주택, 제1종 근린생활시설(사무소,소매점)",도시지역,,가축사육제한구역,1,,,1,건축사사무소 SERA,주식회사 시삼종합건축사사무소,,
64,신축,서울특별시 강북구 우이동 100-7,238,108.53,466.17,,2022-07-28,2022-10-10,3,1,제1종근린생활시설,의원,제2종일반주거지역,고도지구,,2,,,,(주)엔씨테종합건축사사무소,(주)엔씨테종합건축사사무소,,
65,신축,서울특별시 강북구 미아동 734-297 외1필지,326.5,163.24,659.21,,2022-07-17,2022-10-07,6,0,공동주택,단지형 다세대주택,제3종일반주거지역,,,8,10,,,건축사사무소 아성,건축사사무소 아성,,
66,신축,서울특별시 강북구 수유동 120-10 외3필지,343,205.65,682.98,,2022-06-13,2022-10-04,5,0,공동주택,다세대주택및제2종근린생활시설,제1종일반주거지역,,지구단위계획구역,8,10,,,건축사사무소 공간기록,이마 건축사사무소,,
67,신축,서울특별시 강북구 미아동 49-95,154.67,74.37,294.49,,2022-06-08,2022-10-18,5,1,단독주택,,제3종일반주거지역,대공방어협조구역,상대보호구역,2,,,1,맵스아키텍츠 건축사사무소,맵스아키텍츠 건축사사무소,,
68,신축,서울특별시 강북구 미아동 138-19,543.5,268.36,"2,151.74",,2022-04-12,2022-10-25,6,2,업무시설,사무소,제3종일반주거지역,,상대보호구역,19,0,0,0,(주)푸른공간종합건축사사무소,(주)푸른공간종합건축사사무소,,
69,신축,서울특별시 강북구 미아동 160-26 외2필지,485.3,289.515,"3,817.681",,2021-06-17,2021-08-30,15,2,업무시설,"오피스텔/도시형생활주택(단지형연립주택),근린생활시설",일반상업지역,,지구단위계획구역,43,20,54,,0267494387,(주)인오건축사사무소,0267494387,(주)인오건축사사무소
70,신축,서울특별시 강북구 수유동 434-10 외1필지,284,169.8,563.45,,2021-05-28,2021-08-11,5,0,공동주택,10세대,도시지역,고도지구,상대보호구역,7,10,,,010-8984-2719,백이건축사사무소,029089988,(주)신흥건축사사무소
71,신축,서울특별시 강북구 미아동 218-21 외3필지,410.6,200.26,684.86,,2021-04-28,2021-08-11,6,1,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,12,14,,,02-995-8711,(주)단십자건축사사무소,02-6370-1500,(주)한림건축씨엠종합건축사사무소
72,신축,서울특별시 강북구 수유동 472-342 외4필지,344.19,205.62,841.99,,2021-04-08,2021-08-06,4,1,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,고도지구,,8,11,1,,02-993-5500,주식회사종합건축사사무소한산건축,01053107161,니마건축사사무소
73,신축,서울특별시 강북구 수유동 518-140 외1필지,294,175.5,587.33,,2021-08-05,2021-09-03,5,0,공동주택,다세대주택,도시지역,고도지구,상대보호구역,8,11,,,032-464-6775,건축사사무소한다스,02-456-3463,(주)효천건축사사무소
74,신축,서울특별시 강북구 수유동 538 외2필지,508.9,245.97,659.96,,2021-08-04,2021-09-14,5,0,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,13,12,,,02-995-8711,(주)단십자건축사사무소,02-6370-1500,(주)한림건축씨엠종합건축사사무소
75,신축,서울특별시 강북구 수유동 45-20 외2필지,469.1,281.28,"2,584.79",,2021-05-27,2021-09-30,13,1,공동주택,(도시형생활주택-원룸형),일반상업지역,,지구단위계획구역,43,70,7,,02-995-8711,(주)단십자건축사사무소,02-6370-1500,(주)한림건축씨엠종합건축사사무소
76,신축,서울특별시 강북구 수유동 397-14 외1필지,338,202.66,659.8,,2021-09-10,2021-10-13,5,0,공동주택,도시형생활주택(단지형다세대),도시지역,고도지구,,8,10,,,010-4174-1659,건축사사무소 공간기록,02-2297-9633,예토 종합건축사사무소
77,신축,서울특별시 강북구 수유동 516-6,263,102.85,433.24,,2020-12-28,2021-10-15,3,1,문화및집회시설,미술관,도시지역,고도지구,정비구역,4,,,,02-511-5854,(주)에이디모베건축사사무소,02-511-5854,(주)에이디모베건축사사무소
78,신축,서울특별시 강북구 우이동 180-15 외1필지,245,146.93,489.55,,2021-11-11,2021-11-25,5,0,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,8,8,,,02-995-8711,(주)단십자건축사사무소,02-2201-6876,건축사사무소 보문
79,용도변경,서울특별시 강북구 번동 443-6,931.6,558.66,"5,052.66",,2021-10-28,2021-11-15,15,2,공동주택,도시형생활주택,도시지역,대공방어협조구역,지구단위계획구역,,108,,,010-4800-2335,주식회사 디자인그룹이상도시건축사사무소,010-4800-2335,주식회사 디자인그룹이상도시건축사사무소
80,신축,서울특별시 강북구 수유동 50-24 외1필지,376.98,225.6,"1,953.97",,2021-10-20,2021-11-12,13,1,공동주택,아파트 및 제1종근생,일반상업지역,,지구단위계획구역,22,20,,,010-3757-7075,다힘건축사사무소,0232960132,다힘건축사사무소
81,신축,서울특별시 강북구 수유동 90-2,321,192.4,"1,680.7",,2021-03-18,2021-11-01,12,2,공동주택,"및 업무시설,근린생활시설",도시지역,,지구단위계획구역,19,16,8,,02-352-5301,(주)더블유비종합건축사사무소,01020637000,라인그룹건축사사무소
82,신축,서울특별시 강북구 수유동 560-111 외1필지,281.86,168.9,563.41,,2021-10-26,2021-12-21,5,0,공동주택,다세대주택,제2종일반주거지역,,,7,8,,,010-8984-2719,백이건축사사무소,029981582,지원 건축사사무소
83,신축,서울특별시 강북구 수유동 50-67 외1필지,267.7,156.75,"1,044.58",,2021-10-20,2021-12-06,9,1,공동주택,"도시형생활주택(다세형-8세대),오피스텔(2세대),제1종근린생활시설(소매점)",도시지역,,지구단위계획구역,13,8,6,,02-953-4615,수현건축사사무소,01048991718,건축사사무소 한 아키텐트
84,신축,서울특별시 강북구 수유동 313-45 외1필지,210,125.41,419.58,,2021-09-06,2021-12-13,5,0,공동주택,다세대주택(6세대),제2종일반주거지역,,,5,6,1,,01052385782,(주)아키죤 종합건축사사무소,01052385782,(주)아키죤 종합건축사사무소
85,신축,서울특별시 강북구 미아동 160-11 외1필지,627.1,373.82,"4,263.24",,2021-08-06,2021-12-15,14,1,업무시설,"업무시설(오피스텔)및제1,2종근린생활시설",도시지역,,지구단위계획구역,64,,72,,02-906-3456,종로 건축사사무소,02-906-3456,종로 건축사사무소
